p2test-0	我想从今以后爸爸和妈妈不要想[对]我的问题
p2test-135	最重要的是父母和孩子之间[的]互相理解对方的立场
p2test-136	我认为每个人学习汉语[时]都有自己的理由
p2test-137	父母亲不管[了]我喜欢哪个歌星
p2test-138	我[很]明知你们现在多么困难
p2test-139	几十年后可能[人世]人民都能吃绿色食品
p2test-140	我[就]反对男女分班制
p2test-141	就是[从]一个抬水的事情
p2test-142	就很容易看到不少[的]人一边走路一边抽烟
p2test-143	有人说安乐死是[一]杀人
p2test-144	要解决这件事其实[也]并不难
p2test-145	可是忍耐这样的生活后才能找到自己[的]当和尚的意义
p2test-146	所以我才[上]3岁起开始学滑雪
p2test-147	那就是44[个]年来一起生活的妻子
p2test-148	这对我们的身体没[带来]什么影响
p2test-149	我跟几个同学一起去公园玩而没上学[了]
p2test-150	我对“父母是孩子的第一任老师”的问题是同意的看法[的]
p2test-151	晚上7点回家[来]
p2test-152	这样的天气[的时候]我很想打网球
p2test-153	我本来是[个]在城市里出生的
p2test-154	周围的人不得不吸收[那]很多危害成分
p2test-155	这两年[来]到英国去深造
p2test-156	我还记得刚离[了]开的时候
p2test-157	所以[只有]吸烟的人不管吸不吸烟都害了人们的健康
p2test-158	安乐死是减少对患者本身的折磨和减轻[对]家人经济负担的最好方法
p2test-159	我最初接触中国人是我在英国留学[英语]的时候
p2test-160	1992年9月来[了]中国北京语言学院留学
p2test-161	我认为这种[的]想法是对的
p2test-162	就没有人做[的]
p2test-163	所以为了健康很多人对绿色食品很[有]关心
p2test-164	[一直]显得很健康
p2test-165	[一]这个时候朋友问题是最大的哟
p2test-166	现代社会[上]吸烟率越来越高
p2test-167	总会有那些国际足球选择人员的[那些]人来看这运动员的技能
p2test-168	我从来没有离开过你们[的]怀里
p2test-169	所以没有那么多时间说心里[上]的话
p2test-170	互相[要]理解
p2test-171	连喝茶的时间都没有[了]
p2test-172	我来中国留学[的]是自愿的
p2test-173	一个人的一生就必然地被很多人影响[的]
p2test-174	梭罗[的]教联有组织歌咏
p2test-175	并且那时[存]水桶里的水早已干了
p2test-176	努力满足[于]我的要求
p2test-177	因为他们怕孩子[的]早恋
p2test-178	他们[即]不知道所谓“缺乏的”
p2test-179	[好]让他们有信心而成功地完成他的事业
p2test-180	我觉的这个观点有道理[的含义]
p2test-181	我相信人类不像作文上的和尚那样[那么]笨
p2test-182	我来北京[以后]已经三年多了
p2test-183	我们三个人用汉语和英语交流[了]
p2test-184	我想[对]吸烟者也是其中之一
p2test-185	其实我常常跟妈妈发生[了]代沟问题
p2test-186	最关键的是父母和子女之间发生[的]“代沟”
p2test-187	我对此话持[着]肯定态度
p2test-188	[于]知道了当时父亲的心理状态是什么样的
p2test-189	自然[偶然]后果有所不同
p2test-190	那是因为对我影响大的人很多[了]
p2test-191	我们用一天的时间就可以参观全市[内]
p2test-192	歌曲也是一种时尚[的]
p2test-193	没有办法就得忍耐度过这个时间[里]
p2test-194	[以]我想“安乐死”是可以取的
p2test-195	还有一个是为[我]我们的健康的生活
p2test-196	‘我的未来不是梦’这首歌是我的拿手好戏[的]
p2test-197	但是通过[由]一个中国朋友的推荐
p2test-198	所以我们没有习惯[度]过无声音的环境
p2test-199	可是[有]学汉语也有意思


