p2test-0	我想从今以后爸爸和妈妈不要想对我[的]问题
p2test-135	最重要的是父母和孩子之间的互相理解对方[的]立场
p2test-136	我认为每个[人]学习汉语时都有自己的理由
p2test-137	父母亲不管[了]我喜欢哪个歌星
p2test-138	[我]很明知你们现在多么困难
p2test-139	几十年后可能人世[人民]都能吃绿色食品
p2test-140	我[就]反对男女分班制
p2test-141	就是从一个抬水[的]事情
p2test-142	就很容易看到不少[的]人一边走路一边抽烟
p2test-143	有人说安乐死[是]一杀人
p2test-144	要解决这件事其实[也]并不难
p2test-145	可是忍耐这样的生活后才能找到自己的当和尚[的]意义
p2test-146	所以我才上3[岁]起开始学滑雪
p2test-147	那就是[4]4个年来一起生活的妻子
p2test-148	这对我们[的]身体没带来什么影响
p2test-149	我跟几个同学一起去公园玩而没上学[了]
p2test-150	我对“父母是孩子的第一任老师”的问题是同意的看法[的]
p2test-151	晚上7点回[家]来
p2test-152	这样的天气[的]时候我很想打网球
p2test-153	我本来是[个]在城市里出生的
p2test-154	周围[的]人不得不吸收那很多危害成分
p2test-155	这两年来到英国[去]深造
p2test-156	我还记得刚离[了]开的时候
p2test-157	所以只有吸烟的人不管吸不吸烟都害了人们[的]健康
p2test-158	安乐死是减少对患者[本身]的折磨和减轻对家人经济负担的最好方法
p2test-159	我最初接触中国人是我在英国留学英语[的]时候
p2test-160	1992[年]9月来了中国北京语言学院留学
p2test-161	我认为这种的想法是对[的]
p2test-162	就没有人做[的]
p2test-163	所以[为了]健康很多人对绿色食品很有关心
p2test-164	[一直]显得很健康
p2test-165	一这个时候朋友问题是最大[的]哟
p2test-166	现代社会[上]吸烟率越来越高
p2test-167	总会有那些国际足球选择人员[的]那些人来看这运动员的技能
p2test-168	我[从来]没有离开过你们的怀里
p2test-169	所以没有那么多时间说心里[上]的话
p2test-170	互相[要]理解
p2test-171	连喝茶[的]时间都没有了
p2test-172	我来中国留学的是自愿[的]
p2test-173	一个人的一生就必然地被很多人影响[的]
p2test-174	梭罗[的]教联有组织歌咏
p2test-175	并且那时存水桶里[的]水早已干了
p2test-176	努力满足[于]我的要求
p2test-177	因为他们[怕]孩子的早恋
p2test-178	他们即不知道所谓“缺乏[的]”
p2test-179	好让他们有信心而成功地完成他[的]事业
p2test-180	我觉的这个观点有道理[的]含义
p2test-181	我相信人类不像作文[上]的和尚那样那么笨
p2test-182	我来北京以后已经三年多[了]
p2test-183	我们三个人用汉语和英语交流[了]
p2test-184	我想[对]吸烟者也是其中之一
p2test-185	其实我常常跟妈妈发生[了]代沟问题
p2test-186	最关键的是父母和子女之间发生[的]“代沟”
p2test-187	我[对]此话持着肯定态度
p2test-188	[于]知道了当时父亲的心理状态是什么样的
p2test-189	[自]然偶然后果有所不同
p2test-190	那是因为对我影响大的人很多[了]
p2test-191	我们用一天的时间就可以参观全市[内]
p2test-192	歌曲也是一种时尚[的]
p2test-193	没有办法就得忍耐度过这个[时间]里
p2test-194	以我想“安乐死”是可以[取]的
p2test-195	还有一个是[为]我我们的健康的生活
p2test-196	‘我的未来不是梦’这首歌是我的拿手好戏[的]
p2test-197	但是通过由一个中国朋友[的]推荐
p2test-198	所以我们没有习惯度过无声音[的]环境
p2test-199	可是有学汉语[也]有意思
